unicode	char	group	level	ids	strokes	pinyin	stroke_seq	radical	freq	basic
U+4E00	一	0	一级	一	1	yī	1	一	35278860	1
U+4E59	乙	0	一级	乙	1	yǐ	5	乙	32048	0
U+4E8C	二	0	一级	⿱一一	2	èr	11	二	2073729	1
U+5341	十	0	一级	十	2	shí	12	十	2567177	1
U+4E01	丁	0	一级	⿱一亅	2	dīng	12	一	278627	1
U+5382	厂	0	一级	厂	2	chǎng	13	厂	140040	1
U+4E03	七	0	一级	⿻㇀乚	2	qī	15	一	638221	1
U+535C	卜	0	一级	卜	2	bo bǔ	24	卜	57367	0
U+516B	八	0	一级	八	2	bā	34	八	740031	1
U+4EBA	人	0	一级	人	2	rén	34	人	18435295	1
U+5165	入	0	一级	入	2	rù	34	入	1472056	1
U+513F	儿	0	一级	⿰丿乚	2	ér	35	儿	2850098	1
U+5315	匕	0	一级	⿺乚丿	2	bǐ	35	匕	35573	0
U+51E0	几	0	一级	几	2	jǐ	35	几	2760667	1
U+4E5D	九	0	一级	九	2	jiǔ	35	乙	506014	1
U+5201	刁	0	一级	⿹𠃌㇀	2	diāo	51	刁	23103	0
U+4E86	了	0	一级	⿱乛亅	2	le	52	亅	34812434	1
U+5200	刀	0	一级	⿹𠃌丿	2	dāo	53	刀	723425	1
U+529B	力	0	一级	⿻丿𠃌	2	lì	53	力	3298612	1
U+4E43	乃	0	一级	⿹𠄎丿	2	nǎi	53	丿	155797	1
U+53C8	又	0	一级	又	2	yòu	54	又	3710252	1
U+4E09	三	0	一级	⿱一二	3	sān	111	一	2747794	1
U+5E72	干	0	一级	干	3	gàn	112	十	1197831	1
U+4E8E	于	0	一级	于	3	yú	112	二	3614992	1
U+4E8F	亏	0	一级	⿱一丂	3	kuī	115	二	126054	1
U+5DE5	工	0	一级	工	3	gōng	121	工	1242237	1
U+571F	土	0	一级	⿱十一	3	tǔ	121	土	402279	1
U+58EB	士	0	一级	⿱十一	3	shì	121	士	1175727	1
U+624D	才	0	一级	才	3	cái	123	扌	2774963	1
U+4E0B	下	0	一级	⿱一卜	3	xià	124	一	8550882	1
U+5BF8	寸	0	一级	寸	3	cùn	124	寸	85513	0
U+5927	大	0	一级	⿻一人	3	dà	134	大	10828984	1
U+4E08	丈	0	一级	丈	3	zhàng	134	一	238063	1
U+4E0E	与	0	一级	⿹②一	3	yǔ	151	一	2104552	1
U+4E07	万	0	一级	⿱一⿰丿𠃌	3	wàn mò	153	一	1201402	1
U+4E0A	上	0	一级	⿱⺊一	3	shàng	211	一	11918291	1
U+5C0F	小	0	一级	小	3	xiǎo	234	小	6383822	1
U+53E3	口	0	一级	口	3	kǒu	251	口	2375024	1
U+5C71	山	0	一级	山	3	shān	252	山	1526952	1
U+5DFE	巾	0	一级	巾	3	jīn	252	巾	87648	0
