unicode	char	fanti	jianti	group	level	is_radical	ids	pinyin	radical	strokes	stroke_seq	freq	basic
U+4E00	一	一	一	A1a	一级	★	一	yī	一	1	1	65792443	1
U+4E59	乙	乙	乙	A1a	一级	★	乙	yǐ	乙（乚）	1	5	155211	0
U+4E8C	二	二	二	A1a	一级	★	⿱一一	èr	二	2	11	5892369	1
U+5341	十	十	十	A1a	一级	★	⿻一丨	shí	十	2	12	5302547	1
U+4E01	丁	丁	丁	A1a	一级		⿱一亅	dīng / zhēng	一	2	12	588782	1
U+5382	厂	廠	厂	A1a	一级	★	⿱一丿	ān / chǎng	厂	2	13	1499768	1
U+4E03	七	七	七	A1a	一级		⿻㇀乚	qī	一	2	15	1119957	1
U+535C	卜	卜	卜	A1a	一级	★	⿰丨丶	bo / bǔ	卜（⺊）	2	24	128493	0
U+516B	八	八	八	A1a	一级	★	⿰丿㇏	bā	八	2	34	1571030	1
U+4EBA	人	人	人	A1a	一级	★	⿱丿丶	rén	人（亻）	2	34	45849813	1
U+5165	入	入	入	A1a	一级	★	⿹丶丿	rù	入	2	34	9786617	1
U+513F	儿	兒	儿	A1a	一级	★	⿰丿乚	ér	儿	2	35	3863166	1
U+51E0	几	幾	几	A1a	一级	★	⿰丿㇈	jī / jǐ	几	2	35	4224714	1
U+4E5D	九	九	九	A1a	一级		⿻丿㇈	jiǔ	乙（乚）	2	35	991304	1
U+4E86	了	了	了	A1a	一级		⿱乛亅	le / liǎo	亅	2	52	46541300	1
U+5200	刀	刀	刀	A1a	一级	★	⿹𠃌丿	dāo	刀（刂）	2	53	457303	1
U+529B	力	力	力	A1a	一级	★	⿻丿𠃌	lì	力	2	53	13259704	1
U+4E43	乃	乃	乃	A1a	一级		⿹𠄎丿	nǎi	丿	2	53	251861	1
U+53C8	又	又	又	A1a	一级	★	又	yòu	又	2	54	3611510	1
U+4E09	三	三	三	A1a	一级		⿱一二	sān	一	3	111	9223649	1
U+5E72	干	幹	干	A1a	一级	★	⿱一十	gān / gàn	十	3	112	2775184	1
U+4E8E	于	於	于	A1a	一级		⿻丁一	yú	二	3	112	17523647	1
U+4E8F	亏	虧	亏	A1a	一级		⿱一丂	kuī	二	3	115	481789	1
U+5DE5	工	工	工	A1a	一级	★	⿱一丄	gōng	工	3	121	16527483	1
U+571F	土	土	土	A1a	一级	★	⿱十一	tǔ	土	3	121	2216356	1
U+58EB	士	士	士	A1a	一级	★	⿱十一	shì	士	3	121	3906593	1
U+624D	才	才	才	A1a	一级		⿹十丿	cái	手（扌龵）	3	123	3887019	1
U+4E0B	下	下	下	A1a	一级		⿱一卜	xià	一	3	124	16945383	1
U+5BF8	寸	寸	寸	A1a	一级	★	⿹𬺰丶	cùn	寸	3	124	296560	0
U+5927	大	大	大	A1a	一级	★	⿻一人	dà / dài	大	3	134	37791244	1
U+4E08	丈	丈	丈	A1a	一级		⿻𠂇丶	zhàng	一	3	134	293974	1
U+4E0E	与	與	与	A1a	一级		⿹⿺㇉一一	yú / yǔ / yù	一	3	151	12052564	1
U+4E07	万	萬	万	A1a	一级		⿱一勹	mò / wàn	一	3	153	9083799	1
U+4E0A	上	上	上	A1a	一级		⿺丄一	shǎng / shàng	一	3	211	33780403	1
