char	code	code_short	code_more	units	flag
一	ggll	g/ggl		〖※※※〗	
乙	nnll	nnl		〖※※※〗	
二	fgg	fg		〖※※〗	
十	fgh			〖※※〗	
丁	sgh			〖※※〗	
厂	dgt			〖※※〗	
七	agn	ag		〖※※〗	
卜	hhy			〖※※〗	
八	wty	wt		〖※※〗	
人	wwww	w		〖※※※〗	
入	tyi	ty		〖※※〗	捺·杂合〔丶 ⿻〕
儿	qtn	qt		〖※※〗	
匕	xtn			〖※※〗	
几	wtn			〖※※〗	
九	vtn	vt		〖※※〗	
刁	ngd			〖※※〗	横·杂合〔一 ⿻〕
了	bnh	b		〖※※〗	
刀	vnt	vn		〖※※〗	
力	ent	en		〖※※〗	
乃	bnt			〖※※〗	
又	cccc	cc		〖※※※〗	
三	dggg			〖※※※〗	
干	fggh			〖※※※〗	
于	gfk	gf		〖※※〗	竖·杂合〔丨 ⿻〕
亏	fnv			〖※※〗	折·杂合〔乛 ⿻〕
工	aaaa	a/aa/aaa		〖※※※〗	
土	ffff	ff		〖※※※〗	
士	fghg			〖※※※〗	
才	fte	ft		〖※※〗	丿·杂合〔丿 ⿻〕
下	ghi	gh		〖※※〗	捺·杂合〔丶 ⿻〕
寸	fghy			〖※※※〗	
大	dddd	dd		〖※※※〗	
丈	dyi			〖※※〗	捺·杂合〔丶 ⿻〕
与	gngd	gn/gng		〖※※※〗	横·杂合〔一 ⿻〕
万	gqe	gq		〖※※〗	丿·杂合〔丿 ⿻〕
上	hgd	h/hg		〖※※〗	横·杂合〔一 ⿻〕
小	ihty	ih/iht		〖※※※〗	
口	kkkk			〖※※※〗	
山	mmmm	mm/mmm		〖※※※〗	
巾	mhk			〖※※〗	竖·杂合〔丨 ⿻〕
千	tfk			〖※※〗	竖·杂合〔丨 ⿻〕
乞	tnb			〖※※〗	折·上下〔乛 ⿱〕
川	kthh			〖※※※〗	
亿	wnn			〖※※〗	折·左右〔乛 ⿰〕
个	whj	wh		〖※※〗	竖·上下〔丨 ⿱〕
夕	qtny			〖※※※〗	
久	qyi	qy		〖※※〗	捺·杂合〔丶 ⿻〕
么	tcu	tc		〖※※〗	捺·上下〔丶 ⿱〕
勺	qyi			〖※※〗	捺·杂合〔丶 ⿻〕
凡	wyi			〖※※〗	捺·杂合〔丶 ⿻〕
丸	vyi			〖※※〗	捺·杂合〔丶 ⿻〕
及	byi	by		〖※※〗	捺·杂合〔丶 ⿻〕
广	oygt	oy/oyg		〖※※※〗	
亡	ynv			〖※※〗	折·杂合〔乛 ⿻〕
门	uyhn	uy/uyh		〖※※※〗	
丫	uhk			〖※※〗	竖·杂合〔丨 ⿻〕
义	yri	yr		〖※※〗	捺·杂合〔丶 ⿻〕
之	pppp	pp/ppp		〖※※※〗	
尸	nngt			〖※※※〗	
己	nngn	nng		〖※※※〗	
已	nnnn	nn		〖※※※〗	
巳	nngn			〖※※※〗	
弓	xngn	xng		〖※※※〗	
子	bbbb	bb/bbb		〖※※※〗	
卫	bgd	bg		〖※※〗	横·杂合〔一 ⿻〕
也	bnhn	bn		〖※※※〗	
