汉字	全码	简码	容错码	一级简码	二级简码	键名字根	笔画字根	成字字根	字根拆解	笔画拆解
一	ggll	g/ggl		1	0	0	1	1	※※※	
乙	nnll	nnl		0	0	0	1	0	※※※	
二	fgg	fg		0	1	0	0	1	※※	
十	fgh			0	0	0	0	1	※※	
丁	sgh			0	0	0	0	1	※※	
厂	dgt			0	0	0	0	1	※※	
七	agn	ag		0	1	0	0	1	※※	
卜	hhy			0	0	0	0	1	※※	
八	wty	w		0	0	0	0	1	※※	
人	wwww	w		1	0	1	0	0	※※※	
入	tyi	ty		0	1	0	0	0	※※	
儿	qtn	qt		0	1	0	0	1	※※	
匕	xtn			0	0	0	0	1	※※	
几	mtn	mt		0	1	0	0	1	※※	
九	vtn		vt/vnt	0	1	0	0	1	※※	
刁	ngd			0	0	0	0	0	※※	
了	bnh	b		1	0	0	0	1	※※	
刀	vnt	vn		0	1	0	0	1	※※	
力	ltn		*lt/lnt/ltn	0	1	0	0	1	※※	
乃	etn		*ent/etn	0	0	0	0	1	※※	
又	cccc	c/ccc		0	0	1	0	0	※※※	
三	dggg		dg/dgg	0	1	0	0	1	※※※	
干	fggh			0	0	0	0	1	※※※	
于	gfk	gf		0	1	0	0	0	※※	
亏	fnv			0	0	0	0	0	※※	
工	aaaa	a/aaa		1	0	1	0	0	※※※	
土	ffff	f		0	0	1	0	0	※※※	
士	fghg			0	0	0	0	1	※※※	
才	fte	ft		0	1	0	0	0	※※	
下	ghi	gh		0	1	0	0	0	※※	
寸	fghy		fgh	0	0	0	0	1	※※※	
大	dddd	d/dd		0	1	1	0	0	※※※	
丈	dyi			0	0	0	0	0	※※	
与	gngd	gn/gng		0	1	0	0	0	※※※	
万	dnv			0	0	0	0	0	※※	
上	hhgg	h	hhg	1	0	0	0	1	※※※	
小	ihty	ih/iht		0	1	0	0	1	※※※	
口	kkkk	k		0	0	1	0	0	※※※	
山	mmmm	m/mmm		0	0	1	0	0	※※※	
巾	mhk			0	0	0	0	0	※※	
千	tfk			0	0	0	0	0	※※	
乞	tnb			0	0	0	0	0	※※	
川	kthh			0	0	0	0	1	※※※	
亿	wnn	wn		0	1	0	0	0	※※	
个	whj	wh		0	1	0	0	0	※※	
夕	qtny			0	0	0	0	1	※※※	
久	qyi	qy		0	1	0	0	0	※※	
么	tcu	tc		0	1	0	0	0	※※	
勺	qyi			0	0	0	0	0	※※	
凡	myi	my		0	1	0	0	0	※※	
丸	vyi			0	0	0	0	0	※※	
及	eyi	ey		0	1	0	0	0	※※	
广	yygt		yyg	0	0	0	0	1	※※※	
亡	ynv			0	0	0	0	0	※※	
门	uyhn	uyh		0	0	0	0	1	※※※	
丫	uhk			0	0	0	0	0	※※	
义	yqi	yq		0	1	0	0	0	※※	
之	pppp	p/pp/ppp		0	1	1	0	0	※※※	
尸	nngt			0	0	0	0	1	※※※	
己	nngn	nng		0	0	0	0	1	※※※	
已	nnnn	n		0	0	1	0	0	※※※	
巳	nngn		nng	0	0	0	0	1	※※※	
弓	xngn	x/xng		0	0	0	0	1	※※※	
子	bbbb	b/bb/bbb		0	1	1	0	0	※※※	
