word	code	tags	ToRCH-freq
一一	gggg	★/➆/ⓦ/ⓣ	145
一七	ggag	ⓣ	8
一万	ggdn	ⓦ/ⓣ	57
一上	gghh	ⓣ	1
一下	gggh	★/➆/ⓣ	957
一世	ggan	★/➆/ⓦ/ⓣ	10
一业	ggog	ⓣ	1
一丝	ggxx	➆/ⓣ	77
一两	gggm	ⓣ	50
一个	ggwh	ⓦ/ⓣ	9594
一中	ggkh	ⓦ/ⓣ	5
一串	ggkk	ⓣ	1
一为	ggyl	ⓣ	1
一举	ggiw	★/➆/ⓣ	27
一九	ggvt	ⓣ	3
一事	gggk	➆/ⓣ	14
一二	ggfg	★/➆/ⓣ	27
一五	gggg	ⓦ	3
一些	gghx	★/➆/ⓣ	1961
一交	gguq	ⓣ	0
一亩	ggyl	ⓣ	1
一人	ggww	ⓣ	12
一亿	ggwn	ⓣ	3
一从	ggww	➆/ⓣ	0
一代	ggwa	★/➆/ⓦ/ⓣ	141
一件	ggwr	ⓣ	35
一任	ggwt	★/➆/ⓣ	11
一份	ggww	ⓣ	12
一众	ggww	ⓣ	2
一伙	ggwo	ⓣ	4
一会	ggwf	ⓦ/ⓣ	57
一传	ggwf	ⓣ	1
一似	ggwn	➆/ⓣ	0
一位	ggwu	ⓣ	63
一体	ggws	★/➆/ⓣ	75
一作	ggwt	ⓣ	1
一例	ggwg	➆/ⓣ	6
一侧	ggwm	★/ⓣ	30
一信	ggwy	ⓦ/ⓣ	1
一倍	ggwu	ⓣ	1
一偏	ggwy	➆/ⓣ	0
一儿	ggqt	ⓣ	1
一元	ggfq	ⓦ/ⓣ	10
一兜	ggqr	ⓣ	0
一八	ggwt	ⓣ	1
一六	gguy	ⓣ	1
一共	ggaw	★/➆/ⓣ	49
一关	ggud	ⓦ/ⓣ	7
一兵	ggrg	ⓦ/ⓣ	2
一具	gghw	ⓣ	1
一再	gggm	★/➆/ⓣ	46
一军	ggpl	ⓣ	1
一冲	gguk	ⓣ	1
一准	gguw	★/➆/ⓣ	1
一出	ggbm	ⓣ	3
一击	ggfm	ⓣ	1
一刀	ggvn	ⓣ	0
一分	ggwv	ⓣ	41
一切	ggav	★/➆/ⓣ	835
一列	gggq	ⓣ	1
一则	ggmj	ⓣ	19
一刚	ggmq	ⓣ	0
一到	gggc	ⓣ	1
一刹	ggqs	ⓣ	1
一刻	ggyn	➆/ⓣ	98
一剑	ggwg	ⓦ/ⓣ	0
一副	gggk	ⓣ	12
一力	gglt	➆/ⓣ	0
一加	gglk	ⓦ/ⓣ	0
一动	ggfc	➆/ⓣ	14
一包	ggqn	ⓣ	4
一匹	ggaq	ⓦ/ⓣ	1
