五笔编码	重码	常用	更多
`adgt`	2	葳	葴
`admy`	2	项	項
`adwn`	2	甚	惎
`adww`	2	欺	莢
`afcu`	2	芸	芰
`afmi`	2	贰	貳
`afqy`	2	鞫	韂
`agaj`	2	荆	荊
`ajdc`	2	蓦	驀
`akgq`	2	觐	覲
`akkm`	2	颧	顴
`akkn`	2	萼	甌
`alll`	2	荔	藟
`alpu`	2	莲	蓮
`alvv`	2	匦	匭
`amu`	2	贡	貢
`anmu`	2	贳	貰
`apff`	2	茔	蒄
`apgg`	2	萱	鹲
`apju`	2	萤	蓂
`aplj`	2	荤	葷
`aqou`	2	菊	炁
`aqv`	2	匹	旡
`atdi`	2	医	繄
`auwy`	2	蔺	藺
`awwq`	2	觋	覡
`awyc`	2	苓	蒦
`awyn`	2	芩	菍
`axfu`	2	荮	葤
`axgn`	2	莼	蒓
`axjl`	2	蕴	藴
`axqy`	2	药	葯
`ayjn`	2	蔼	藹
`ayke`	2	蓑	蘘
`ayna`	2	匾	萹
`aysd`	2	蘑	蘼
`ayve`	2	莨	蓢
`bhic`	2	骘	騭
`bkmy`	2	陨	隕
`blh`	2	阵	陣
`bnn`	2	孔	㔾
`bwyc`	2	聆	陰
`cadw`	2	骐	騏
`cbci`	2	骤	驟
`cbdm`	2	预	預
`cbn`	2	驰	馳
`cbtc`	2	骛	騖
`cccc`	2	又	叕
`cccf`	2	垒	骉
`cccm`	2	颡	顙
`cckg`	2	骀	駘
`ccwt`	2	骏	駿
`ccyj`	2	骚	騷
`cdsk`	2	骑	騎
`cdy`	2	驮	馱
`cjsy`	2	骒	騍
`ckh`	2	驯	馴
`ckqy`	2	驶	駛
`clg`	2	驷	駟
`clxi`	2	骡	騾
`cmgn`	2	骋	騁
`cnbb`	2	骣	驏
`cpxn`	2	驼	駝
`cqkg`	2	驹	駒
`cqqy`	2	驳	駁
`cqyl`	2	骝	騮
`csfi`	2	骠	驃
`ctkg`	2	骆	駱
`ctln`	2	骢	驄
`cuah`	2	骈	駢
`cuxw`	2	骥	驥
`cvpc`	2	骎	駸
`cwfy`	2	驸	駙
`cygg`	2	驻	駐
`cyke`	2	骧	驤
`cyna`	2	骗	騙
`cynn`	2	骟	騸
`cynw`	2	骇	駭
`ddmy`	2	硕	碩
`dgmy`	2	碛	磧
`dhvd`	2	契	䂮
`djdl`	2	辈	輩
`dlh`	2	砗	硨
`dlk`	2	厍	厙
`dmjk`	2	厕	厠
`dmu`	2	页	頁
`eafm`	2	腻	膩
`edcy`	2	肱	胈
`edmv`	2	媭	嬃
`edmy`	2	须	須
`eeee`	2	月	朤
`efcy`	2	肢	胠
`egey`	2	脯	脿
`eiqn`	2	胱	朓
`etfm`	2	臜	臢
`eudc`	2	腾	騰
`eudi`	2	滕	縢
`eudy`	2	朕	謄
`ewgj`	2	腧	膾
`eyi`	2	及	豖
`fakg`	2	域	墐
`falk`	2	载	載
`famu`	2	贲	賁
`fcbh`	2	却	𨙸
`fdmy`	2	顸	頇
`fff`	2	圭	亖
`ffnb`	2	雩	鄠
`fghg`	2	士	埡
`fhtm`	2	趱	趲
`fhwm`	2	颠	顛
`fjfh`	2	韩	垾
`fjgq`	2	觏	覯
`fjwf`	2	斡	幹
`fkdm`	2	颉	頡
`fkmy`	2	埙	塤
`fkun`	2	甏	憙
`fmy`	2	坝	垻
`fnhc`	2	霞	韨
`fnu`	2	志	忈
`fpmn`	2	悫	慤
`fqdm`	2	顽	頑
`frcy`	2	坂	坬
`fte`	2	才	耂
`fufj`	2	幸	蟄
`fwwm`	2	赍	賫
`fwyc`	2	零	坽
`fyjn`	2	霭	靄
`gbnm`	2	顿	頓
`gdeg`	2	瑚	珛
`gdmy`	2	顼	頊
`gggg`	2	王	𤣩
`gimy`	2	琐	瑣
`giqn`	2	珧	珖
`gkim`	2	赖	賴
`glpy`	2	琏	璉
`gmii`	2	棘	棗
`gmmv`	2	璎	瓔
`gmu`	2	责	責
`gmyb`	2	郦	酈
`gmyp`	2	逦	邐
`gplh`	2	珲	琿
`gqjg`	2	珣	䴕
`gqjo`	2	烈	鴷
`gqkm`	2	殒	殞
`gqtb`	2	聱	珋
`gqtc`	2	骜	驁
`gqto`	2	熬	鰲
`gqtr`	2	殇	殤
`gqyy`	2	玖	玓
`griy`	2	珠	瑔
`gtfm`	2	瓒	瓚
`gycq`	2	琉	珫
`gyi`	2	玉	玊
`haoq`	2	觑	覷
`hcdm`	2	颇	頗
`hidf`	2	颦	顰
`hidm`	2	频	頻
`hmu`	2	贞	貞
`hwbh`	2	龊	𬺓
`hwbj`	2	齿	𬹼
`hwbn`	2	龅	龁
`iaky`	2	灌	灘
`ibn`	2	池	氾
`icbm`	2	滪	澦
`idhc`	2	滟	灧
`ifcy`	2	法	沄
`ifqn`	2	沅	𣲘
