分组序	键位	字根	举例
1	G	``	一 **ggll** `※※※` / 二 **fgg** `※※` / 十 **fgh** `※※`
2	G	``	王 **gggg** `※※※` / 玉 **gyi** `※※` / 主 **ygd** `※※`
3	G	``	五 **gghg** `※※※` / 伍 **wgg** `※※` / 吾 **gkf** `※※`
4	G	``	刁 **ngd** `※※` / 叼 **kngg** `※※※` / 羽 **nnyg** `※※※`
5	G	``	生 **tgd** `※※` / 性 **ntgg** `※※※` / 姓 **vtgg** `※※※`
6	G	``	麦 **gtu** `※※` / 青 **gef** `※※` / 责 **gmu** `※※`
7	G	``	浅 **igt** `※※` / 线 **xgt** `※※` / 栈 **sgt** `※※`
1	F	``	二 **fgg** `※※` / 亏 **fnv** `※※` / 井 **fjk** `※※`
2	F	``	土 **ffff** `※※※` / 丑 **nfd** `※※` / 去 **fcu** `※※`
3	F	``	士 **fghg** `※※※` / 壬 **tfd** `※※` / 吉 **fkf** `※※`
4	F	``	干 **fggh** `※※※` / 刊 **fjh** `※※` / 汗 **ifh** `※※`
5	F	``	十 **fgh** `※※` / 千 **tfk** `※※` / 支 **fcu** `※※`
6	F	``	雨 **fghy** `※※※` / 漏 **infy** `※※※`
7	F	``	寸 **fghy** `※※※` / 付 **wfy** `※※` / 讨 **yfy** `※※`
8	F	``	雪 **fvf** `※※` / 雳 **fdlb** `※※※` / 雷 **flf** `※※`
9	F	``	 
10	F	``	才 **fte** `※※` / 团 **lfte** `※※※` / 闭 **ufte** `※※※`
11	F	``	革 **afj** `※※` / 勒 **afln** `※※※` / 靴 **afwx** `※※※`
12	F	``	于 **gfk** `※※` / 迂 **gfpk** `※※※` / 芋 **agfj** `※※※`
1	D	``	三 **dggg** `※※※` / 丰 **dhk** `※※` / 邦 **dtbh** `※※※`
2	D	``	大 **dddd** `※※※` / 天 **gdi** `※※` / 太 **dyi** `※※`
3	D	``	套 **ddu** `※※` / 肆 **dvfh** `※※※` / 鬓 **depw** `※※※`
4	D	``	古 **dghg** `※※※` / 舌 **tdd** `※※` / 克 **dqb** `※※`
5	D	``	石 **dgtg** `※※※` / 拓 **rdg** `※※` / 矾 **dmyy** `※※※`
6	D	``	厂 **dgt** `※※` / 厅 **dsk** `※※` / 历 **dlv** `※※`
7	D	``	万 **dnv** `※※` / 厉 **ddnv** `※※※` / 迈 **dnpv** `※※※`
8	D	``	犬 **dgty** `※※※` / 厌 **ddi** `※※` / 伏 **wdy** `※※`
9	D	``	長 **deu** `※※` / 倀 **wdey** `※※※` / 帳 **mhde** `※※※`
10	D	``	丈 **dyi** `※※` / 友 **dcu** `※※` / 左 **daf** `※※`
11	D	``	羊 **udj** `※※` / 详 **yudh** `※※※` / 洋 **iudh** `※※※`
12	D	``	差 **udaf** `※※※` / 养 **udyj** `※※※` / 羞 **udnf** `※※※`
13	D	``	尤 **dnv** `※※` / 龙 **dxv** `※※` / 优 **wdnn** `※※※`
14	D	``	百 **djf** `※※` / 而 **dmjj** `※※※` / 页 **dmu** `※※`
1	S	``	木 **ssss** `※※※` / 末 **gsi** `※※` / 本 **sgd** `※※`
2	S	``	丁 **sgh** `※※` / 厅 **dsk** `※※` / 订 **ysh** `※※`
3	S	``	西 **sghg** `※※※` / 酉 **sgd** `※※` / 洒 **isg** `※※`
4	S	``	要 **svf** `※※` / 栗 **ssu** `※※` / 贾 **smu** `※※`
5	S	``	杀 **qsu** `※※` / 杂 **vsu** `※※` / 条 **tsu** `※※`
6	S	``	可 **skd** `※※` / 何 **wskg** `※※※` / 阿 **bskg** `※※※`
1	A	``	工 **aaaa** `※※※` / 巧 **agnn** `※※※` / 功 **aln** `※※`
2	A	``	戈 **agnt** `※※※` / 戎 **ade** `※※` / 划 **ajh** `※※`
3	A	``	甘 **afd** `※※` / 其 **adwu** `※※※` / 某 **afsu** `※※※`
4	A	``	开 **gak** `※※` / 升 **tak** `※※` / 卉 **faj** `※※`
5	A	``	世 **anv** `※※` / 泄 **iann** `※※※` / 屉 **nanv** `※※※`
6	A	``	区 **aqi** `※※` / 匹 **aqv** `※※` / 巨 **and** `※※`
7	A	``	七 **agn** `※※` / 托 **rtan** `※※※` / 宅 **ptab** `※※※`
8	A	``	氏 **qav** `※※` / 民 **nav** `※※` / 尧 **atgq** `※※※`
9	A	``	东 **aii** `※※` / 冻 **uaiy** `※※※` / 陈 **baiy** `※※※`
10	A	``	切 **avn** `※※` / 长 **tayi** `※※※` / 彻 **tavn** `※※※`
11	A	``	牙 **ahte** `※※※` / 邪 **ahtb** `※※※` / 讶 **yaht** `※※※`
12	A	``	共 **awu** `※※` / 曲 **mad** `※※` / 昔 **ajf** `※※`
13	A	``	艺 **anb** `※※` / 艾 **aqu** `※※` / 节 **abj** `※※`
14	A	``	代 **way** `※※` / 式 **aad** `※※` / 武 **gahd** `※※※`
15	A	``	越 **fhat** `※※※` / 钺 **qant** `※※※` / 鉞 **qant** `※※※`
16	A	``	扁 **ynma** `※※※` / 匾 **ayna** `※※※` / 偏 **wyna** `※※※`
1	H	``	十 **fgh** `※※` / 卜 **hhy** `※※` / 干 **fggh** `※※※`
2	H	``	丁 **sgh** `※※` / 了 **bnh** `※※` / 寸 **fghy** `※※※`
3	H	``	目 **hhhh** `※※※` / 自 **thd** `※※` / 盯 **hsh** `※※`
4	H	``	直 **fhf** `※※` / 具 **hwu** `※※` / 真 **fhwu** `※※※`
5	H	``	上 **hhgg** `※※※` / 卡 **hhu** `※※` / 让 **yhg** `※※`
6	H	``	止 **hhhg** `※※※` / 正 **ghd** `※※` / 此 **hxn** `※※`
7	H	``	卜 **hhy** `※※` / 下 **ghi** `※※` / 仆 **why** `※※`
8	H	``	丐 **ghnv** `※※※` / 占 **hkf** `※※` / 卢 **hne** `※※`
9	H	``	走 **fhu** `※※` / 足 **khu** `※※` / 定 **pghu** `※※※`
10	H	``	虎 **hamv** `※※※` / 虏 **halv** `※※※` / 虐 **haag** `※※※`
11	H	``	皮 **hci** `※※` / 坡 **fhcy** `※※※` / 披 **rhcy** `※※※`
1	J	``	而 **dmjj** `※※※` / 坚 **jcff** `※※※` / 非 **djdd** `※※※`
2	J	``	帅 **jmhh** `※※※` / 归 **jvg** `※※` / 师 **jgmh** `※※※`
3	J	``	井 **fjk** `※※` / 介 **wjj** `※※` / 弗 **xjk** `※※`
4	J	``	刊 **fjh** `※※` / 刑 **gajh** `※※※` / 列 **gqjh** `※※※`
5	J	``	日 **jjjj** `※※※` / 旧 **hjg** `※※` / 旦 **jgf** `※※`
6	J	``	申 **jhk** `※※` / 电 **jnv** `※※` / 旨 **xjf** `※※`
7	J	``	冒 **jhf** `※※` / 帽 **mhjh** `※※※` / 勖 **jhln** `※※※`
8	J	``	临 **jtyj** `※※※` / 象 **qjeu** `※※※` / 像 **wqje** `※※※`
9	J	``	曰 **jhng** `※※※` / 汩 **ijg** `※※`
10	J	``	 
11	J	``	早 **jhnh** `※※※` / 卓 **hjj** `※※` / 草 **ajj** `※※`
12	J	``	虫 **jhny** `※※※` / 茧 **aju** `※※` / 虹 **jag** `※※`
13	J	``	 
14	J	``	肃 **vijk** `※※※` / 萧 **avij** `※※※` / 啸 **kvij** `※※※`
1	K	``	带 **gkph** `※※※` / 滞 **igkh** `※※※` / 䗖 **jgkh** `※※※`
2	K	``	川 **kthh** `※※※` / 训 **ykh** `※※` / 驯 **ckh** `※※`
3	K	``	口 **kkkk** `※※※` / 中 **khk** `※※` / 可 **skd** `※※`
1	L	``	田 **llll** `※※※` / 男 **llb** `※※` / 佃 **wlg** `※※`
2	L	``	甲 **lhnh** `※※※` / 匣 **alk** `※※` / 押 **rlh** `※※`
3	L	``	一 **ggll** `※※※` / 乙 **nnll** `※※※` / 囚 **lwi** `※※`
4	L	``	四 **lhng** `※※※` / 泗 **ilg** `※※` / 驷 **clg** `※※`
5	L	``	罗 **lqu** `※※` / 罚 **lyjj** `※※※` / 罢 **lfcu** `※※※`
6	L	``	皿 **lhng** `※※※` / 血 **tld** `※※` / 孟 **blf** `※※`
7	L	``	车 **lgnh** `※※※` / 轧 **lnn** `※※` / 轨 **lvn** `※※`
8	L	``	車 **lghh** `※※※` / 軋 **lnn** `※※` / 厙 **dlk** `※※`
9	L	``	舞 **rlgh** `※※※` / 無 **rlgo** `※※※` / 嘸 **krlo** `※※※`
10	L	``	柬 **glii** `※※※` / 黑 **lfou** `※※※` / 熏 **tglo** `※※※`
