分组序	键位	字根	举例
1	Y	``	丈 **dyi** `※※` / 久 **qyi** `※※` / 及 **eyi** `※※`
2	Y	``	八 **wty** `※※` / 入 **tyi** `※※` / 爪 **rhyi** `※※※`
3	Y	``	言 **yyyy** `※※※` / 信 **wyg** `※※` / 唁 **kyg** `※※`
4	Y	``	计 **yfh** `※※` / 订 **ysh** `※※` / 认 **ywy** `※※`
5	Y	``	亡 **ynv** `※※` / 丹 **myd** `※※` / 亢 **ymb** `※※`
6	Y	``	文 **yygy** `※※※` / 刘 **yjh** `※※` / 齐 **yjj** `※※`
7	Y	``	方 **yygn** `※※※` / 仿 **wyn** `※※` / 访 **yyn** `※※`
8	Y	``	卜 **hhy** `※※` / 寸 **fghy** `※※※` / 小 **ihty** `※※※`
9	Y	``	准 **uwyg** `※※※` / 谁 **ywyg** `※※※` / 难 **cwyg** `※※※`
10	Y	``	京 **yiu** `※※` / 享 **ybf** `※※` / 哀 **yeu** `※※`
11	Y	``	 
12	Y	``	广 **yygt** `※※※` / 扩 **ryt** `※※` / 庄 **yfd** `※※`
13	Y	``	 
1	U	``	斗 **ufk** `※※` / 冬 **tuu** `※※` / 头 **udi** `※※`
2	U	``	飞 **nui** `※※` / 补 **puhy** `※※※` / 初 **puvn** `※※※`
3	U	``	北 **uxn** `※※` / 乖 **tfux** `※※※` / 背 **uxef** `※※※`
4	U	``	习 **nud** `※※` / 匀 **qud** `※※` / 冯 **ucg** `※※`
5	U	``	丫 **uhk** `※※` / 羊 **udj** `※※` / 兑 **ukqb** `※※※`
6	U	``	立 **uuuu** `※※※` / 产 **ute** `※※` / 位 **wug** `※※`
7	U	``	辛 **uygh** `※※※` / 宰 **puj** `※※` / 辜 **duj** `※※`
8	U	``	平 **guhk** `※※※` / 乎 **tuhk** `※※※` / 兰 **uff** `※※`
9	U	``	六 **uygy** `※※※` / 交 **uqu** `※※` / 郊 **uqbh** `※※※`
10	U	``	门 **uyhn** `※※※` / 们 **wun** `※※` / 闪 **uwi** `※※`
11	U	``	門 **uhng** `※※※` / 閂 **ugd** `※※` / 們 **wug** `※※`
12	U	``	疗 **ubk** `※※` / 疟 **uagd** `※※※` / 疙 **utnv** `※※※`
13	U	``	壮 **ufg** `※※` / 妆 **uvg** `※※` / 状 **udy** `※※`
14	U	``	母 **xgui** `※※※` / 每 **txgu** `※※※` / 拇 **rxgu** `※※※`
15	U	``	帝 **upmh** `※※※` / 旁 **upyb** `※※※` / 商 **umwk** `※※※`
1	I	``	步 **hir** `※※` / 涉 **ihit** `※※※` / 频 **hidm** `※※※`
2	I	``	汁 **ifh** `※※` / 汇 **ian** `※※` / 汉 **icy** `※※`
3	I	``	水 **iiii** `※※※` / 冰 **uiy** `※※` / 汞 **aiu** `※※`
4	I	``	录 **viu** `※※` / 隶 **vii** `※※` / 泰 **dwiu** `※※※`
5	I	``	少 **itr** `※※` / 尘 **iff** `※※` / 尖 **idu** `※※`
6	I	``	小 **ihty** `※※※` / 示 **fiu** `※※` / 东 **aii** `※※`
7	I	``	当 **ivf** `※※` / 肖 **ief** `※※` / 尚 **imkf** `※※※`
8	I	``	学 **ipbf** `※※※` / 觉 **ipmq** `※※※` / 搅 **ripq** `※※※`
9	I	``	犀 **nirh** `※※※` / 墀 **fnih** `※※※` / 樨 **snih** `※※※`
10	I	``	永 **ynii** `※※※` / 咏 **kyni** `※※※` / 泳 **iyni** `※※※`
11	I	``	兆 **iqv** `※※` / 函 **bibk** `※※※` / 挑 **riqn** `※※※`
12	I	``	鳏 **qgli** `※※※` / 鰥 **qoli** `※※※`
13	I	``	肃 **vijk** `※※※` / 萧 **avij** `※※※` / 啸 **kvij** `※※※`
14	I	``	光 **iqb** `※※` / 恍 **niqn** `※※※` / 晃 **jiqb** `※※※`
15	I	``	兴 **iwu** `※※` / 应 **yid** `※※` / 俭 **wwgi** `※※※`
16	I	``	不 **gii** `※※` / 坏 **fgiy** `※※※` / 否 **gikf** `※※※`
17	I	``	求 **fiyi** `※※※` / 球 **gfiy** `※※※` / 俅 **wfiy** `※※※`
18	I	``	未 **fii** `※※` / 朱 **rii** `※※` / 束 **gkii** `※※※`
19	I	``	聚 **bcti** `※※※` / 骤 **cbci** `※※※` / 衆 **tlti** `※※※`
1	O	``	杰 **sou** `※※` / 点 **hkou** `※※※` / 热 **rvyo** `※※※`
2	O	``	火 **oooo** `※※※` / 灭 **goi** `※※` / 灰 **dou** `※※`
3	O	``	米 **oyty** `※※※` / 来 **goi** `※※` / 咪 **koy** `※※`
4	O	``	亦 **you** `※※` / 赤 **fou** `※※` / 迹 **yopi** `※※※`
5	O	``	变 **yocu** `※※※` / 峦 **yomj** `※※※` / 弯 **yoxb** `※※※`
6	O	``	 
7	O	``	鬯 **qobx** `※※※` / 鹵 **hlqo** `※※※` / 滷 **ihlo** `※※※`
8	O	``	业 **ogd** `※※` / 亚 **gogd** `※※※` / 严 **godr** `※※※`
1	P	``	之 **pppp** `※※※` / 乏 **tpi** `※※` / 芝 **apu** `※※`
2	P	``	辽 **bpk** `※※` / 边 **lpv** `※※` / 迂 **gfpk** `※※※`
3	P	``	廷 **tfpd** `※※※` / 延 **thpd** `※※※` / 诞 **ythp** `※※※`
4	P	``	宁 **psj** `※※` / 穴 **pwu** `※※` / 它 **pxb** `※※`
5	P	``	冗 **pmb** `※※` / 写 **pgng** `※※※` / 军 **plj** `※※`
6	P	``	礼 **pynn** `※※※` / 补 **puhy** `※※※` / 初 **puvn** `※※※`
