分区	键位/区位	助记词	其他助记
**1区（横/一）**	 	 	 
G〈11〉	王旁青头戋五一	 	戋（读作“兼”）
F〈12〉	土士二干十寸雨	 	 
D〈13〉	大犬三羊古石厂	 	羊缺上面“丷”
S〈14〉	木丁西	（木丁西在 14 里）	 
A〈15〉	工戈草头右框七	 	右框即“匚匸”等
**2区（竖/丨）**	 	 	 
H〈21〉	目具上止卜虎皮	 	 
J〈22〉	日早两竖与虫依	 	两竖包括“刂”等
K〈23〉	口与川，字根稀	（口中一川三个竖）	 
L〈24〉	田甲方框四车力	 	方框即“囗”，区别于“口”
M〈25〉	山由贝，下框几	（山由骨头贝框几）	下框即“冂”
**3区（撇/丿）**	 	 	 
T〈31〉	禾竹一撇双人立，<br>反文条头共 31	（禾竹反文双人立）	双人立即“彳”；条头即“夂”
R〈32〉	白手看头 32 斤	（白斤气头手边提）	 
E〈33〉	月彡乃用家衣底	（月乃用舟家衣下）	彡（读作“衫”）
W〈34〉	人和八，34 里	（人八登祭把头取）	 
Q〈35〉	金勺缺点无尾鱼，<br>犬旁留乂儿一点夕，<br>氏无七	（金夕儿包头鱼）	乂（可读作“叉”）
**4区（捺/丶）**	 	 	 
Y〈41〉	言文方广在 41，<br>高头一捺谁人去	 	 
U〈42〉	立辛两点六门疒	（立辛两点病门里）	疒（读作“病”）
I〈43〉	水旁兴头小倒立	（水族三点兴头小）	 
O〈44〉	火业头，四点米	（火里业头四点米）	 
P〈45〉	之宝盖，摘礻衤	（之字宝盖补礻衤）<br>（之字军盖道建底）	礻衤（读作“示衣”）去掉点
**5区（折/乙）**	 	 	 
N〈51〉	已半巳满不出己，左框折尸心和羽	（已类左框心尸羽）	左框即“已”去掉乚的部分
B〈52〉	子耳了也框向上	（子耳了也框上举）	框向上即“凵”
Y〈53〉	女刀九臼山朝西	（女刀九巛臼山倒）	山朝西即“彐”
C〈54〉	又巴马，丢矢矣	（又巴劲头私马依）	丢矢矣即“厶”
X〈55〉	慈母无心弓和匕，幼无力	（绞丝互幺弓和匕）	幼无力即“幺”
