字	笔画数量	笔画顺序	笔画序号	示意图	备注
七	2	一乚	（15）	![](assets/七.gif)	起笔为横，斜向上
匚	2	一𠃊	（15）	![](assets/匚.gif)	 
九	2	丿㇈	（35）	![](assets/九.gif)	先写撇
匕	2	丿乚	（35）	![](assets/匕.gif)	起笔为撇
乃	2	𠄎丿	（53）	![](assets/乃.gif)	先写撇
刀	2	𠃌丿	（53）	![](assets/刀.gif)	先写横折钩
力	2	𠃌丿	（53）	![](assets/力.gif)	先写横折钩，同刀
万	3	一𠃌丿	（153）	![](assets/万.gif)	先横折钩后撇，同刀
弋	3	一㇂丶	（154）	![](assets/弋.gif)	 
丸	3	丿㇈丶	（354）	![](assets/丸.gif)	先写“九”，最后点
及	3	丿㇋㇏	（354）	![](assets/及.gif)	先写撇，同“乃”
义	3	丶丿㇏	（434）	![](assets/义.gif)	先写点
车	4	一𠃋一丨	（1512）	![](assets/车.gif)	车做偏旁，笔顺为一𠃋丨㇀
戈	4	一㇂丿丶	（1534）	![](assets/戈.gif)	末笔为点
方	4	丶一𠃌丿	（4153）	![](assets/方.gif)	先横折钩后撇，同“万”
火	4	丶丿丿㇏	（4334）	![](assets/火.gif)	先两边“丷”后中间“人”
凸	5	丨一丨㇎一	（21251）	![](assets/凸.gif)	 
凹	5	丨㇅丨𠃍一	（25251）	![](assets/凹.gif)	 
出	5	𠃊丨丨𠃊丨	（52252）	![](assets/出.gif)	 
母	5	𠃊𠃌丶一丶	（55414）	![](assets/母.gif)	 
里	7	丨𠃍一一丨一一	（2511211）	![](assets/里.gif)	理、童
冒	9	丨𠃍一一丨𠃍一一一	（251125111）	![](assets/冒.gif)	帽、瑁、冕、勖；三四笔横不和两边竖相连
重	9	丿一丨𠃍一一丨一一	（312511211）	![](assets/重.gif)	踵、董
鬯	10	丿丶丶丶丶丶𠃊丨丿乚	（3444445235）	![](assets/鬯.gif)	上部：撇、斜点、［上］点、［左］点、［右］点、［下］点
爽	11	一丿丶丿丶丿丶丿丶丿㇏	（13434343434）	![](assets/爽.gif)	 
噩	16	一丨丨𠃍一丨𠃍一一丨𠃍一丨𠃍一一	（1225125112512511）	![](assets/噩.gif)	 
